employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,48,no_promoted
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,58,no_promoted
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,0,87,no_promoted
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,0,47,no_promoted
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,0,75,no_promoted
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,47,no_promoted
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,0,51,no_promoted
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,0,51,promoted
25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,0,80,no_promoted
40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,0,57,no_promoted
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,0,52,no_promoted
17423,Sales & Marketing,region_2,,m,other,3,24,2,2,0,48,no_promoted
61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,0,88,no_promoted
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,71,no_promoted
17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,0,71,no_promoted
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,0,80,no_promoted
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,0,49,no_promoted
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,0,73,no_promoted
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,0,60,no_promoted
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,0,48,no_promoted
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,0,65,no_promoted
33690,HR,region_22,Bachelor's,m,other,1,30,1,6,0,50,no_promoted
73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,0,62,no_promoted
13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,0,85,no_promoted
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,49,no_promoted
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,0,84,no_promoted
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,0,47,no_promoted
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,52,no_promoted
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,0,47,promoted
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,53,no_promoted
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,0,80,no_promoted
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,0,52,no_promoted
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,87,no_promoted
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,0,58,no_promoted
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,58,promoted
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,,promoted
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,0,75,no_promoted
45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,0,84,promoted
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,0,59,no_promoted
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,0,78,promoted
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,52,no_promoted
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,44,no_promoted
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,52,no_promoted
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,0,49,promoted
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,0,51,no_promoted
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,0,53,no_promoted
7520,Analytics,region_2,Bachelor's,m,other,1,25,3,2,0,91,no_promoted
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3,3,0,58,promoted
53092,Technology,region_2,Bachelor's,m,referred,1,47,3,7,0,79,no_promoted
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2,7,0,53,no_promoted
66013,Sales & Marketing,region_2,,m,sourcing,2,25,3,2,0,53,no_promoted
77135,R&D,region_22,Bachelor's,m,other,1,36,4,8,0,82,no_promoted
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,65,promoted
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5,11,0,60,promoted
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2,6,0,52,no_promoted
69094,Sales & Marketing,region_2,,m,sourcing,1,39,1,9,0,49,no_promoted
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,0,69,promoted
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51,no_promoted
62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,55,no_promoted
21628,Analytics,region_12,Bachelor's,m,other,1,34,3,8,0,85,no_promoted
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4,3,0,74,no_promoted
44523,HR,region_2,Master's & above,m,other,1,47,3,7,0,44,no_promoted
35420,Operations,region_2,Bachelor's,f,other,1,44,4,13,0,53,no_promoted
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4,4,0,86,no_promoted
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,77,no_promoted
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3,5,0,57,no_promoted
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,12,0,52,no_promoted
51256,Finance,region_2,Master's & above,m,other,1,60,5,17,0,59,no_promoted
66635,Operations,region_15,Bachelor's,m,other,1,31,5,4,0,63,promoted
16027,Operations,region_26,Bachelor's,f,other,1,37,3,11,0,57,no_promoted
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3,4,0,83,no_promoted
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5,8,0,54,no_promoted
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5,4,0,50,no_promoted
21387,Operations,region_13,Bachelor's,m,other,1,35,4,6,0,57,promoted
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,0,62,no_promoted
60763,Procurement,region_2,Bachelor's,f,other,1,23,3,2,0,73,no_promoted
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3,4,0,50,no_promoted
32672,Analytics,region_22,Master's & above,m,other,1,42,2,19,0,79,no_promoted
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4,2,0,49,no_promoted
51444,HR,region_13,Bachelor's,f,other,1,30,,1,0,54,no_promoted
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,0,63,no_promoted
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3,2,0,90,promoted
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5,5,0,49,no_promoted
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4,2,0,46,no_promoted
51892,Technology,region_2,Bachelor's,m,other,1,27,5,2,0,86,promoted
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3,2,0,72,no_promoted
38771,Procurement,region_23,Bachelor's,f,other,1,27,4,4,0,72,promoted
18959,Technology,region_15,Bachelor's,m,other,4,36,4,7,0,82,no_promoted
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4,6,0,77,no_promoted
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5,7,0,51,promoted
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5,3,1,92,promoted
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,0,58,no_promoted
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3,5,0,71,no_promoted
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83,no_promoted
15227,Procurement,region_27,Master's & above,f,other,1,40,5,5,0,68,no_promoted
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,50,no_promoted
42068,Operations,region_1,Master's & above,m,other,1,38,5,9,0,,no_promoted
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3,2,0,47,no_promoted
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5,3,0,46,no_promoted
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5,4,0,67,no_promoted
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,0,58,no_promoted
19318,Analytics,region_22,Bachelor's,m,other,1,32,3,8,0,89,promoted
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5,8,0,50,no_promoted
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56,no_promoted
29521,Technology,region_15,Bachelor's,m,other,1,27,3,4,0,78,no_promoted
36371,Finance,region_28,Master's & above,m,other,2,34,3,7,0,56,no_promoted
51164,Technology,region_14,Bachelor's,f,other,1,31,4,4,1,78,no_promoted
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4,2,0,77,no_promoted
7606,Technology,region_29,Bachelor's,f,other,2,30,3,7,1,76,no_promoted
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,0,56,no_promoted
73735,Analytics,region_25,Bachelor's,m,other,1,30,5,3,0,84,no_promoted
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3,2,0,57,no_promoted
40262,Technology,region_2,Bachelor's,m,other,2,28,3,5,0,81,no_promoted
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3,2,0,51,no_promoted
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3,11,0,51,no_promoted
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5,4,0,80,no_promoted
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1,4,0,72,no_promoted
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,0,50,no_promoted
74018,HR,region_7,Master's & above,f,other,1,37,3,9,0,48,no_promoted
34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,0,88,promoted
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5,3,0,70,promoted
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4,4,0,57,no_promoted
5515,Operations,region_13,Master's & above,m,other,1,43,3,7,0,56,promoted
53373,Operations,region_13,Bachelor's,m,other,1,36,1,5,0,56,no_promoted
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3,3,0,63,no_promoted
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3,2,0,56,no_promoted
50622,Analytics,region_25,Master's & above,m,other,1,34,5,2,0,84,no_promoted
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4,4,0,,no_promoted
45157,HR,region_4,Bachelor's,m,other,1,27,,1,0,50,no_promoted
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3,5,0,75,no_promoted
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1,4,0,48,no_promoted
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5,7,0,70,no_promoted
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,0,73,no_promoted
34405,Procurement,region_2,Master's & above,f,other,1,33,5,4,0,67,no_promoted
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1,8,0,,no_promoted
23599,Technology,region_23,Master's & above,m,other,1,34,4,7,0,82,no_promoted
942,Technology,region_22,Bachelor's,m,other,2,32,4,6,0,84,no_promoted
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4,6,0,53,no_promoted
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,0,,no_promoted
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1,2,0,50,no_promoted
26773,Technology,region_7,Bachelor's,f,other,1,28,2,5,0,75,no_promoted
70034,Procurement,region_2,Master's & above,f,other,2,35,3,9,0,70,no_promoted
40565,Technology,region_2,Bachelor's,f,other,2,40,3,3,0,86,no_promoted
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2,4,0,54,no_promoted
76550,Procurement,region_22,Bachelor's,f,other,3,26,3,3,0,70,no_promoted
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2,12,0,57,no_promoted
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,,no_promoted
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5,6,0,84,no_promoted
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3,15,0,51,no_promoted
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4,4,0,49,no_promoted
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4,4,0,70,no_promoted
34306,Procurement,region_13,Bachelor's,f,other,1,31,5,5,0,72,no_promoted
34041,Operations,region_7,Bachelor's,m,other,1,40,4,11,0,58,no_promoted
21356,Operations,region_15,Bachelor's,f,other,2,39,5,12,0,55,no_promoted
29540,Operations,region_2,Bachelor's,f,other,2,30,3,6,0,57,no_promoted
51669,Technology,region_2,Master's & above,m,other,1,47,4,4,0,77,no_promoted
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4,7,0,48,promoted
6254,Operations,region_2,,f,other,1,33,4,9,0,64,no_promoted
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5,7,0,51,no_promoted
3231,Technology,region_7,Bachelor's,m,other,1,29,1,4,0,80,no_promoted
7030,Analytics,region_31,Bachelor's,f,other,1,32,3,4,0,86,no_promoted
54198,Procurement,region_7,Master's & above,f,other,1,47,5,9,0,68,no_promoted
62293,Operations,region_27,Bachelor's,m,other,1,35,4,3,0,65,no_promoted
25312,Technology,region_22,Bachelor's,m,other,1,27,4,2,0,75,no_promoted
75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,0,81,no_promoted
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3,9,0,49,no_promoted
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1,8,0,39,no_promoted
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3,2,0,70,no_promoted
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4,5,1,94,promoted
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3,2,0,60,no_promoted
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5,2,0,51,no_promoted
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5,4,0,56,no_promoted
60761,Operations,region_16,,f,other,1,31,4,2,0,62,no_promoted
57228,HR,region_2,Master's & above,m,sourcing,1,44,5,6,0,48,no_promoted
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3,4,0,49,no_promoted
22725,Technology,region_26,Bachelor's,m,other,1,40,1,3,0,78,no_promoted
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5,6,1,58,no_promoted
50845,Procurement,region_19,Master's & above,m,other,1,44,3,12,0,70,no_promoted
11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,69,no_promoted
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1,2,0,53,no_promoted
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1,4,0,80,no_promoted
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5,4,0,58,no_promoted
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85,no_promoted
58338,Analytics,region_1,Bachelor's,m,other,2,30,5,6,0,81,no_promoted
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1,8,0,67,no_promoted
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4,8,0,86,no_promoted
27188,Analytics,region_13,Master's & above,m,other,1,30,3,4,0,80,no_promoted
24291,Analytics,region_26,Bachelor's,m,other,2,27,5,3,0,85,no_promoted
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,68,no_promoted
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3,3,0,58,no_promoted
34241,Analytics,region_22,Bachelor's,m,other,2,28,3,5,0,86,no_promoted
76661,Procurement,region_17,Bachelor's,m,other,1,31,5,3,0,68,no_promoted
50595,Operations,region_2,Bachelor's,f,other,1,43,4,12,0,58,no_promoted
67673,Operations,region_4,Bachelor's,f,other,1,35,5,9,0,60,no_promoted
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3,9,0,49,no_promoted
73405,Operations,region_2,Master's & above,m,other,1,50,3,8,0,59,no_promoted
73114,HR,region_17,Bachelor's,f,other,1,26,4,3,0,50,no_promoted
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3,5,0,52,no_promoted
62923,Operations,region_13,Master's & above,f,other,1,38,5,2,1,93,promoted
57235,Sales & Marketing,region_26,,m,other,1,22,4,2,0,51,no_promoted
22300,HR,region_20,Bachelor's,m,other,1,28,,1,0,52,no_promoted
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3,9,0,69,no_promoted
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3,9,0,86,no_promoted
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3,8,0,51,no_promoted
71339,Technology,region_6,Bachelor's,m,other,1,35,3,8,0,78,no_promoted
54714,Analytics,region_29,Bachelor's,m,other,1,39,3,4,0,85,no_promoted
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5,4,0,63,no_promoted
9563,Operations,region_31,Bachelor's,m,other,2,38,3,7,1,60,no_promoted
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1,2,0,48,no_promoted
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2,3,0,52,no_promoted
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,54,no_promoted
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3,4,0,84,no_promoted
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2,4,0,57,promoted
24414,R&D,region_2,,m,other,1,25,,1,0,76,no_promoted
63237,Technology,region_22,Bachelor's,m,referred,1,26,4,2,0,82,no_promoted
32838,Technology,region_7,Bachelor's,m,other,1,31,4,4,0,78,no_promoted
23003,Technology,region_14,Bachelor's,f,other,1,38,5,7,0,82,no_promoted
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4,9,0,49,no_promoted
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5,4,1,50,no_promoted
60176,Procurement,region_15,Master's & above,f,other,1,34,5,8,0,67,no_promoted
67652,Procurement,region_23,Master's & above,f,other,1,33,3,5,0,72,no_promoted
15476,Technology,region_2,Bachelor's,f,other,1,29,5,3,0,78,no_promoted
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4,2,0,,no_promoted
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,56,no_promoted
10058,Analytics,region_22,Bachelor's,m,other,2,26,4,2,0,87,no_promoted
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5,4,0,64,no_promoted
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3,7,0,46,no_promoted
70060,Technology,region_13,Master's & above,m,other,1,43,3,14,0,79,no_promoted
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1,8,0,39,no_promoted
71904,Technology,region_7,Master's & above,f,other,2,38,3,10,0,88,no_promoted
76080,Operations,region_7,Bachelor's,f,other,1,34,1,5,0,54,no_promoted
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4,4,0,63,no_promoted
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1,4,0,,no_promoted
26409,Operations,region_2,Bachelor's,m,other,1,33,4,3,0,,no_promoted
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4,5,0,48,no_promoted
28687,Operations,region_2,Master's & above,m,other,3,38,3,11,0,57,no_promoted
34312,Procurement,region_2,Master's & above,f,other,2,54,4,23,0,66,no_promoted
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2,8,0,49,no_promoted
11794,R&D,region_2,Bachelor's,m,other,2,26,5,3,0,87,no_promoted
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5,3,0,59,no_promoted
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,62,no_promoted
13970,Operations,region_33,Master's & above,m,other,1,36,3,4,0,60,no_promoted
49868,Technology,region_5,Bachelor's,m,other,1,45,3,15,0,87,no_promoted
25261,Procurement,region_7,Master's & above,m,other,1,38,4,7,0,66,no_promoted
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2,4,0,47,no_promoted
55550,Analytics,region_27,,m,sourcing,1,31,3,4,0,85,no_promoted
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3,7,0,87,no_promoted
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4,4,0,78,no_promoted
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3,12,0,50,no_promoted
30682,Technology,region_2,Bachelor's,m,referred,2,29,4,6,0,75,no_promoted
1829,Analytics,region_28,Bachelor's,m,other,2,31,5,7,0,87,no_promoted
2177,Finance,region_16,Bachelor's,m,other,1,32,5,6,0,58,no_promoted
51771,Operations,region_17,Bachelor's,m,other,1,42,5,11,0,67,no_promoted
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5,3,0,65,no_promoted
64977,Procurement,region_16,Bachelor's,f,other,1,24,3,2,0,70,no_promoted
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3,7,0,56,no_promoted
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1,3,0,80,no_promoted
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3,2,0,47,no_promoted
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5,14,0,48,no_promoted
58203,Operations,region_16,Bachelor's,m,other,2,39,3,9,0,58,no_promoted
12504,Technology,region_7,Bachelor's,f,other,1,46,4,17,0,85,no_promoted
49126,Technology,region_15,Bachelor's,m,other,1,29,2,5,0,77,no_promoted
66469,Finance,region_7,Bachelor's,m,other,1,26,1,3,0,59,no_promoted
53350,Operations,region_23,Bachelor's,m,other,1,35,4,5,0,,no_promoted
22031,Procurement,region_2,Bachelor's,f,other,1,29,4,2,0,95,promoted
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2,9,0,79,no_promoted
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4,5,0,50,no_promoted
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1,6,0,47,no_promoted
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2,4,0,59,no_promoted
33619,Technology,region_2,Master's & above,m,sourcing,1,46,5,10,0,76,no_promoted
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2,2,0,69,no_promoted
40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2,5,0,47,no_promoted
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5,3,0,86,no_promoted
12559,Operations,region_22,Bachelor's,f,other,1,35,5,10,0,63,no_promoted
30433,Procurement,region_27,Bachelor's,m,other,1,36,4,3,0,66,no_promoted
13150,Procurement,region_2,Master's & above,f,other,1,58,1,13,0,70,no_promoted
9616,Finance,region_31,Bachelor's,m,other,1,29,4,4,0,57,no_promoted
26563,Procurement,region_2,Bachelor's,f,referred,1,33,3,3,0,67,no_promoted
38331,Operations,region_16,Bachelor's,f,other,1,32,5,6,0,62,no_promoted
18651,Legal,region_22,Below Secondary,m,other,1,25,5,2,0,59,no_promoted
45004,Procurement,region_13,Bachelor's,m,other,4,41,2,9,0,68,no_promoted
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,0,69,no_promoted
16859,Analytics,region_2,Master's & above,m,other,1,50,1,7,1,79,no_promoted
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1,7,0,53,no_promoted
22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,81,no_promoted
22865,Analytics,region_20,Master's & above,m,other,1,40,5,5,1,83,promoted
67467,Finance,region_2,Below Secondary,f,other,1,26,3,2,0,,no_promoted
2268,Technology,region_13,Bachelor's,m,other,1,35,5,8,0,81,no_promoted
33517,Sales & Marketing,region_7,Master's & above,m,other,1,37,3,7,0,52,no_promoted
27605,Operations,region_22,Master's & above,m,other,1,34,3,3,0,75,promoted
69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3,2,0,57,no_promoted
45496,Sales & Marketing,region_2,,m,other,1,22,5,2,0,62,promoted
66262,Procurement,region_2,Bachelor's,f,other,2,26,5,2,0,68,promoted
55425,Technology,region_2,Bachelor's,f,other,1,31,4,7,0,80,no_promoted
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5,3,0,60,no_promoted
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3,6,0,86,no_promoted
11205,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5,8,0,48,no_promoted
